Gene Name,MeanLN_INS,P-valueLN_INSvsCON,FC,logP
LARP1,0.802499306,0.11,-0.31742795029203696,0.958607314841775
LARS,0.54424945,0.17,-0.8776600504117277,0.769551078621726
LASP1,0.902046464,0.43,-0.14872634693229278,0.36653154442041347
LDHA,1.087035503,0.71,0.12039906011277975,0.14874165128092473
LDHB,0.878977821,0.57,-0.18610133217738706,0.24412514432750865
LEO1,0.720979327,0.15,-0.47197020194299466,0.8239087409443188
LGALS1,0.8426252,0.07,-0.24703703233233484,1.154901959985743
LGALS3BP,2.07497067,0.4,1.0530909439079446,0.3979400086720376
LIMCH1,0.748617088,0.44,-0.4177001151887697,0.3565473235138126
LIMD1,0.891881222,0.1,-0.16507650564053572,1.0
LMCD1,0.871744891,0.34,-0.19802209100504134,0.46852108295774486
LMNA,0.775884934,0.5,-0.3660853824962098,0.3010299956639812
LMO7,0.907098042,0.1,-0.14066960470354284,1.0
LMOD3,0.762839446,0.04,-0.39054864835624886,1.3979400086720375
LPIN1,1.025467701,0.61,0.03628205218738278,0.21467016498923297
LPP,0.755830939,0.01,-0.4038645201525371,2.0
LRRC17,0.858896092,0.24,-0.2194444881147085,0.619788758288394
LRRC40,1.364302386,0.1,0.4481634408675309,1.0
LRRC47,0.850528157,0.12,-0.2335690973386698,0.9208187539523752
LRRFIP1,0.815331362,0.06,-0.2945415850442402,1.2218487496163564
LSM14A,0.669260183,0.01,-0.5793609098045188,2.0
LTN1,0.890546387,0.25,-0.16723733414789216,0.6020599913279624
LTV1,0.957798462,0.02,-0.06220597594192441,1.6989700043360187
LUC7L2,0.577022563,0.01,-0.7933003619927278,2.0
LUZP1,0.87378423,0.13,-0.19465102653496466,0.8860566476931632
LYAR,0.683765793,0.03,-0.5484258445402653,1.5228787452803376
MACROD1,1.297183191,0.85,0.3753822344736867,0.07058107428570728
MAD1L1,0.72024457,0.14,-0.47344121609173706,0.8538719643217619
MAGED1,0.843375818,0.3,-0.2457524388757612,0.5228787452803376
MAGED2,0.795749986,0.04,-0.3296128684081714,1.3979400086720375
MANF,1.21816811,0.68,0.2847132422160057,0.16749108729376366
MAP1B,0.72327338,0.03,-0.46738704048654045,1.5228787452803376
MAP1S,0.864503513,0.06,-0.21005626846644382,1.2218487496163564
MAP2K2,1.024564988,0.77,0.03501149717661788,0.11350927482751812
MAP4K4,1.006301896,0.49,0.009063186378803167,0.3098039199714863
MAP7D3,1.13629691,0.66,0.18433985475151893,0.1804560644581313
MAPK1,0.932082579,0.28,-0.10147031700768688,0.5528419686577808
MAPRE1,0.762454678,0.79,-0.3912765117742387,0.10237290870955855
MAPRE3,0.796443317,0.2,-0.3283564063231542,0.6989700043360187
MARCKS,0.734275754,0.02,-0.4456061323399802,1.6989700043360187
MARCKSL1,0.877901437,0.11,-0.18786911905986103,0.958607314841775
MARK2,0.57661669,0.07,-0.7943154990678007,1.154901959985743
MARK3,1.187376557,0.84,0.24777753461326038,0.07572071393811836
MARS,0.952599665,0.93,-0.07005805353680622,0.03151705144606486
MATR3,0.784163811,0.14,-0.35077303157857476,0.8538719643217619
MDH2,0.673791762,0.44,-0.5696253051845946,0.3565473235138126
MED15,0.943778121,0.84,-0.08348036809439197,0.07572071393811836
METAP2,0.686721483,0.01,-0.5422029981245532,2.0
MFGE8,1.001398166,0.27,0.0020157183282660577,0.5686362358410126
